-----------------------------------------------------
| JNAME  | STEPN  | PROCS  | JOBID  |OWNERID | CPU% |
-----------------------------------------------------
|*MASTER*|        |        |STC06622|+MASTER+|  0.00|
|PCAUTH  |PCAUTH  |        |        |        |  0.00|
|RASP    |RASP    |        |        |        |  0.00|
|TRACE   |TRACE   |        |        |        |  0.00|
|DUMPSRV |DUMPSRV |DUMPSRV |        |        |  0.00|
|XCFAS   |XCFAS   |IEFPROC |        |        |  0.00|
|GRS     |GRS     |        |        |        |  0.00|
|SMSPDSE |SMSPDSE |        |        |        |  0.00|
|CONSOLE |CONSOLE |        |        |        |  0.00|
|WLM     |WLM     |IEFPROC |        |        |  0.00|
|ANTMAIN |ANTMAIN |IEFPROC |        |        |  0.00|
|ANTAS000|ANTAS000|IEFPROC |        |        |  0.00|
|DEVMAN  |DEVMAN  |IEFPROC |        |        |  0.00|
|GTZ     |GTZ     |GTZ     |        |        |  0.00|
|OMVS    |OMVS    |OMVS    |        |        |  0.00|
|PCIE    |PCIE    |IEFPROC |        |        |  0.00|
|FPGHWAM |FPGHWAM |IEFPROC |        |        |  0.00|
|IEFSCHAS|IEFSCHAS|        |        |        |  0.00|
|JESXCF  |JESXCF  |IEFPROC |        |        |  0.00|
|ALLOCAS |ALLOCAS |        |        |        |  0.00|
|SMS     |SMS     |IEFPROC |        |        |  0.00|
|IOSAS   |IOSAS   |IEFPROC |        |        |  0.00|
|IXGLOGR |IXGLOGR |IEFPROC |        |        |  0.00|
|AXR     |AXR     |IEFPROC |        |        |  0.00|
|CEA     |CEA     |IEFPROC |        |        |  0.00|
|SMF     |SMF     |IEFPROC |        |        |  0.00|
|RESOLVER|RESOLVER|EZBREINI|        |        |  0.00|
|LLA     |LLA     |LLA     |        |        |  0.00|
|ZFS     |ZFS     |ZFZGO   |        |        |  0.00|
|JES2AUX |JES2AUX |        |        |        |  0.00|
|HZR     |HZR     |IEFPROC |        |        |  0.00|
|JES2    |JES2    |IEFPROC |        |        |  0.00|
|VLF     |VLF     |VLF     |        |        |  0.00|
|RSED2   |STEP1   |        |STC06664|STCRSE  |  0.00|
|SDSF    |SDSF    |SDSF    |STC06615|STRTASK |  0.00|
|EPWFFST |FFST    |EPWFFST |        |        |  0.00|
|RSED9   |STEP1   |        |STC06665|STCRSE  |  0.00|
|RSED2   |STEP1   |        |STC06666|STCRSE  |  0.00|
|HZSPROC |HZSPROC |HZSSTEP |STC06620|STCOPER |  0.00|
|RSED4   |STEP1   |        |STC06668|STCRSE  |  0.00|
|VTAM    |VTAM    |VTAM    |STC06616|STRTASK |  0.00|
|RSED1   |STEP1   |        |STC06667|STCRSE  |  0.00|
|RRS     |RRS     |RRS     |        |        |  0.00|
|FTPSERVE|STEP1   |        |STC06681|TCPIP   |  0.00|
|OAM     |OAM     |IEFPROC |STC06617|STRTASK |  0.00|
|RACF    |RACF    |RACF    |STC06663|STRTASK |  0.00|
|CATALOG |CATALOG |IEFPROC |        |        |  0.00|
|JES2MON |JES2MON |IEFPROC |        |        |  0.00|
|TN3270S |TN3270S |TN3270  |STC06677|STCOPER |  0.00|
|TCAS    |TCAS    |TCAS    |STC06674|STRTASK |  0.00|
|TN3270M |TN3270M |TN3270  |STC06676|STCOPER |  0.00|
|TCPIP   |TCPIP   |TCPIP   |STC06671|TCPIP   |  0.00|
|RSED3   |STEP1   |        |STC06669|STCRSE  |  0.00|
|CSF     |CSF     |CSF     |STC06675|STCOPER |  0.00|
|TN3270  |TN3270  |TN3270  |STC06672|TCPIP   |  0.00|
|JMON    |JMON    |JMON    |STC06680|STCJMON |  0.00|
|RSED    |RSED    |RSED    |STC06679|STCRSE  |  0.00|
|EXITMVS |EXITMVS |ST01    |STC06673|STCOPER |  0.00|
|SSHD1   |STEP1   |        |STC06670|STCOPER |  0.00|
|VMCF    |VMCF    |IEFPROC |        |        |  0.00|
|SDSFAUX |SDSFAUX |SDSFAUX |STC06662|STCOPER |  0.00|
|BPXOINIT|BPXOINIT|BPXOINIT|        |        |  0.00|
|TNF     |TNF     |IEFPROC |        |        |  0.00|
|SSHD7   |STEP1   |        |STC06683|STCOPER |  0.00|
|Z59663  |DBPROCCG|TCP00024|TSU06734|Z59663  |  0.00|
